Unnamed: 0,employment_status,industry,current_role,years_of_experience,genai_org_approval,genai_use,genai_tools_used,genai_frequency_use,genai_importance,skill_integration,skill_learning,simple_tasks_skills,complex_tasks_skills,skillfullness,skills_support,skill_sharing,better_worker,relatedness,tasks_description,emotional_energy,dependancy,reliance,decision_making_confidence,quality_improvement,peers_approval,manager_support,general_disapproval,age_group,gender,highest_level_of_education,country_of_residence,emotional_energy_score,self_efficacy,relatedness_score,dependence_score,ai_score,emotional_energy_codes_str
36,Yes,Creative / Media,Jewellery Desinger,Less than 1 year,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",A few times a week,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,"1.Jewelry Design Ideas:
Used Gen AI to generate creative concepts, collection names, and mood boards for jewelry projects.
2.Market Research:
Used AI to gather insights on trends, brands, and competitors for better design alignment.","It feels empowering to use Gen AI it helped me brianstrom faster, visualize design direction clearly, and explore more variations than i colud manually in the same time ",3.0,3.0,2.0,3.0,3.0,3.0,3.0,18-25,Female,Bachelor’s degree,India,5.0,3.0,3.0,3.0,3.6666666666666665,Curiosity
36,Yes,Creative / Media,Jewellery Desinger,Less than 1 year,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",A few times a week,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,"1.Jewelry Design Ideas:
Used Gen AI to generate creative concepts, collection names, and mood boards for jewelry projects.
2.Market Research:
Used AI to gather insights on trends, brands, and competitors for better design alignment.","It feels empowering to use Gen AI it helped me brianstrom faster, visualize design direction clearly, and explore more variations than i colud manually in the same time ",3.0,3.0,2.0,3.0,3.0,3.0,3.0,18-25,Female,Bachelor’s degree,India,5.0,3.0,3.0,3.0,3.6666666666666665,Excitement
38,Yes,Education / Academia,Assistant Professor ,24,"Not approved,but I often used GPT and Gemini ",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",A few times a month,4.0,4.0,4.0,1.0,5.0,3.0,4.0,2.0,3.0,3.0,"For learning excel formulas, for solving complicated numericals",Knowledgeable and confident,3.0,3.0,3.0,3.0,3.0,3.0,3.0,46-55,Female,Master’s degree,India,5.0,3.3333333333333335,3.0,3.0,3.6666666666666665,Confidence
40,Yes,IT / Tech,Salesforce Developer ,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,ChatGPT (OpenAI),Rarely,2.0,3.0,3.0,2.0,5.0,3.0,5.0,3.0,3.0,5.0,"In writing complex logic, For solving errors ",Not great ,4.0,3.0,3.0,4.0,4.0,3.0,4.0,18-25,Female,Bachelor’s degree,India,2.0,3.2222222222222223,5.0,3.5,3.5,Excitement
40,Yes,IT / Tech,Salesforce Developer ,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,ChatGPT (OpenAI),Rarely,2.0,3.0,3.0,2.0,5.0,3.0,5.0,3.0,3.0,5.0,"In writing complex logic, For solving errors ",Not great ,4.0,3.0,3.0,4.0,4.0,3.0,4.0,18-25,Female,Bachelor’s degree,India,2.0,3.2222222222222223,5.0,3.5,3.5,Discomfort
41,Yes,IT / Tech,Software Engineer,1–3 years,ChatGPT (OpenAI),Yes,"ChatGPT (OpenAI), Claude (Anthropic), GitHub Copilot",A few times a week,1.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,"Code Review, Function or Code snippet optimization, Draft replies to client queries or emails.","I use it to improve me work quality and efficiency and do not blindly follow it, thus, I can confidently say that I use Gen AI only to deliver better solutions.",3.0,2.0,3.0,4.0,4.0,4.0,4.0,18-25,Male,Bachelor’s degree,India,5.0,3.7777777777777777,3.0,2.5,3.5,Confidence
41,Yes,IT / Tech,Software Engineer,1–3 years,ChatGPT (OpenAI),Yes,"ChatGPT (OpenAI), Claude (Anthropic), GitHub Copilot",A few times a week,1.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,"Code Review, Function or Code snippet optimization, Draft replies to client queries or emails.","I use it to improve me work quality and efficiency and do not blindly follow it, thus, I can confidently say that I use Gen AI only to deliver better solutions.",3.0,2.0,3.0,4.0,4.0,4.0,4.0,18-25,Male,Bachelor’s degree,India,5.0,3.7777777777777777,3.0,2.5,3.5,Competence
42,Yes,Manufacturing industry ,Process engineer ,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), GitHub Copilot",Daily,1.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,"AI is used in daily working life to prepare task manuals, confirm engineering data for simulation, and support with basic engineering package data like CAS numbers, molecular structure, and micro-level details.","Using Gen AI for work-related tasks makes me feel more confident and efficient. It supports me in handling complex data, reduces repetitive work, and helps ensure accuracy in simulations and documentation. It is  a valuable tool that enhances my productivity without replacing critical engineering judgment.",5.0,5.0,5.0,4.0,4.0,5.0,5.0,18-25,Female,Bachelor’s degree,India,5.0,3.6666666666666665,5.0,5.0,5.0,Confidence
42,Yes,Manufacturing industry ,Process engineer ,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), GitHub Copilot",Daily,1.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,"AI is used in daily working life to prepare task manuals, confirm engineering data for simulation, and support with basic engineering package data like CAS numbers, molecular structure, and micro-level details.","Using Gen AI for work-related tasks makes me feel more confident and efficient. It supports me in handling complex data, reduces repetitive work, and helps ensure accuracy in simulations and documentation. It is  a valuable tool that enhances my productivity without replacing critical engineering judgment.",5.0,5.0,5.0,4.0,4.0,5.0,5.0,18-25,Female,Bachelor’s degree,India,5.0,3.6666666666666665,5.0,5.0,5.0,Competence
43,Yes,IT / Tech,Associate Consultant,1–3 years,"Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",A few times a month,3.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,"Generating SQL queries, Process of setting up internal environment, To upskill",Not very good,2.0,4.0,4.0,4.0,4.0,2.0,3.0,18-25,Female,Bachelor’s degree,India,2.0,4.222222222222222,3.0,3.0,2.6666666666666665,Discomfort
43,Yes,IT / Tech,Associate Consultant,1–3 years,"Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",A few times a month,3.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,"Generating SQL queries, Process of setting up internal environment, To upskill",Not very good,2.0,4.0,4.0,4.0,4.0,2.0,3.0,18-25,Female,Bachelor’s degree,India,2.0,4.222222222222222,3.0,3.0,2.6666666666666665,Neutral
44,Yes,Creative / Media,Social media marketer,Less than 1 year,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Claude (Anthropic), Microsoft Copilot, Midjourney, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Claude (Anthropic), Microsoft Copilot, Midjourney, GitHub Copilot",Daily,5.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,"- To make creatives
- To do automation 
- To search


",It make me feel efficient and up-to-date.,3.0,3.0,5.0,4.0,4.0,4.0,5.0,26-35,Female,Bachelor’s degree,India,4.0,4.444444444444445,4.0,3.0,3.6666666666666665,Competence
45,Yes,IT / Tech,Data Engineer ,1–3 years,"Microsoft Copilot, GitHub Copilot",Yes,"Microsoft Copilot, GitHub Copilot",A few times a week,3.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,"I’ve used Gen AI to:

Write and optimize SQL/Spark queries for data analysis and transformation.

Draft documentation and technical summaries for pipelines and data workflows.

Troubleshoot code and debug errors by exploring possible fixes and best practices.","I feel confident using Gen AI for work—it boosts my productivity and helps me solve problems faster, as long as I validate the output.",3.0,4.0,5.0,5.0,5.0,5.0,5.0,18-25,Male,Bachelor’s degree,India,4.0,4.333333333333333,4.0,3.5,3.8333333333333335,Confidence
46,Yes,"IT / Tech, Healthcare",Senior Software Engineer,1–3 years,,Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Microsoft Copilot, GitHub Copilot",A few times a week,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,"I used Gen AI to assist in:

Generating boilerplate code for React components, Redux stores, API service layers, and unit tests.
Refactoring large legacy JavaScript files into modular, readable, and optimized ES6+ code.
Ensuring code followed best practices like DRY (Don't Repeat Yourself) and SOLID principles.","It feels good to:

Leverage cutting-edge tools to work smarter, not harder.
Save time on repetitive or complex tasks, allowing more focus on creative problem-solving and high-impact work.
Stay ahead in a fast-evolving tech landscape by embracing AI as a collaborative assistant, not a replacement.",4.0,3.0,4.0,4.0,4.0,4.0,4.0,18-25,Male,Bachelor’s degree,India,4.0,4.0,4.0,3.5,3.8333333333333335,Neutral
47,Yes,Education / Academia,Teacher ,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Microsoft Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Microsoft Copilot",Daily,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"1. Creating weekly planning schedule 
2. Creating extra complex or simple tests using the PDFs
3. Creating simple yet descriptive powerpoint presentations for teaching purpose",It's more easy to create/ plan/ generate/ and many more things to do using ai.,5.0,5.0,5.0,5.0,5.0,5.0,5.0,26-35,Male,Master’s degree,India,4.0,5.0,5.0,5.0,4.666666666666667,Other Emotional State
48,Yes,IT / Tech,Software Engineer ,Less than 1 year,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Microsoft Copilot, GitHub Copilot",Daily,4.0,3.0,3.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,"Drafting professional emails and client communications more quickly.
"," I feel efficient and empowered. Using Gen AI helps me save time and improves the quality of my work. However, sometimes I worry about whether others might think I'm relying on it too much or not using my own skills.
",3.0,4.0,3.0,3.0,4.0,4.0,4.0,18-25,Male,Bachelor’s degree,India,4.0,3.5555555555555554,4.0,3.5,3.8333333333333335,Competence
48,Yes,IT / Tech,Software Engineer ,Less than 1 year,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Microsoft Copilot, GitHub Copilot",Daily,4.0,3.0,3.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,"Drafting professional emails and client communications more quickly.
"," I feel efficient and empowered. Using Gen AI helps me save time and improves the quality of my work. However, sometimes I worry about whether others might think I'm relying on it too much or not using my own skills.
",3.0,4.0,3.0,3.0,4.0,4.0,4.0,18-25,Male,Bachelor’s degree,India,4.0,3.5555555555555554,4.0,3.5,3.8333333333333335,Pride & Empowerment
48,Yes,IT / Tech,Software Engineer ,Less than 1 year,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Microsoft Copilot, GitHub Copilot",Daily,4.0,3.0,3.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,"Drafting professional emails and client communications more quickly.
"," I feel efficient and empowered. Using Gen AI helps me save time and improves the quality of my work. However, sometimes I worry about whether others might think I'm relying on it too much or not using my own skills.
",3.0,4.0,3.0,3.0,4.0,4.0,4.0,18-25,Male,Bachelor’s degree,India,4.0,3.5555555555555554,4.0,3.5,3.8333333333333335,Anxiety
49,Yes,"IT / Tech, Education / Academia",PhD scholar AI/ML,4–7 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",A few times a week,1.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,"New idea,writing code,brainstorm ",Great ,3.0,3.0,3.0,3.0,3.0,3.0,2.0,26-35,Female,Doctorate (PhD or equivalent),India,5.0,3.111111111111111,3.0,3.0,3.6666666666666665,Excitement
50,Yes,IT / Tech,Associate,1–3 years,"Microsoft Copilot, GitHub Copilot",Yes,Microsoft Copilot,A few times a week,1.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,"Writing emails, complex scripts etc",Its great and supportive,4.0,3.0,5.0,5.0,5.0,5.0,4.0,18-25,Male,Bachelor’s degree,India,5.0,4.0,5.0,3.5,4.5,Excitement
51,Yes,IT / Tech,Software Engineer,1–3 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),A few times a week,3.0,2.0,3.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,"Search of any new technologies,",Much faster work can do,3.0,3.0,3.0,3.0,2.0,2.0,2.0,26-35,Male,Bachelor’s degree,India,4.0,2.7777777777777777,3.0,3.0,3.3333333333333335,Other Emotional State
53,Yes,IT / Tech,Software Engineer ,1–3 years,,Yes,ChatGPT (OpenAI),A few times a month,3.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,Basic tasks which are easy to do but boring to type,Good as the labour work was done by AI,3.0,3.0,3.0,4.0,4.0,5.0,4.0,18-25,Male,Bachelor’s degree,India,4.0,4.111111111111111,4.0,3.0,3.6666666666666665,Neutral
55,Yes,IT / Tech,Technical Consultant ,Less than 1 year,"ChatGPT (OpenAI), Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Microsoft Copilot",Daily,2.0,4.0,3.0,2.0,5.0,3.0,3.0,4.0,4.0,3.0,For getting more information about technical stuff ,Good,2.0,2.0,2.0,2.0,2.0,3.0,2.0,18-25,Female,Bachelor’s degree,Ireland {Republic},4.0,3.3333333333333335,3.0,2.0,3.0,Neutral
57,Yes,IT / Tech,Help desk ,1–3 years,ChatGPT (OpenAI),Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Midjourney",A few times a week,4.0,3.0,4.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,Sheets. Letters. Troubleshooting ,My organization encourages using aid of ai,3.0,4.0,4.0,5.0,5.0,5.0,5.0,26-35,Male,Master’s degree,Qatar,3.0,4.0,5.0,3.5,3.8333333333333335,Other Emotional State
58,Yes,IT / Tech,,8–15 years,Copilot ,Yes,ChatGPT (OpenAI),A few times a week,3.0,3.0,3.0,5.0,1.0,3.0,3.0,2.0,1.0,1.0,Search in doc library ,Normal,3.0,1.0,1.0,3.0,5.0,5.0,5.0,36-45,Prefer not to say,Master’s degree,Qatar,3.0,2.6666666666666665,1.0,2.0,2.0,Neutral
59,Yes,IT / Tech,Monitoring & Evaluation Officer,1–3 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),A few times a week,3.0,4.0,3.0,2.0,4.0,4.0,5.0,3.0,3.0,4.0,"Generate content in English, develop monitoring & evaluation plans, and write case studies from our context in humanitarian job.",A little bit shameful ,4.0,3.0,2.0,4.0,2.0,1.0,4.0,26-35,Female,Bachelor’s degree,Qatar,2.0,3.4444444444444446,4.0,3.5,3.1666666666666665,Shame & Guilt
60,Yes,IT / Tech,Oracle EBS financial consultant,8–15 years,No,Yes,Microsoft Copilot,A few times a week,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,2.0,2.0,Some outlook changes i did for my email,Its ok for me no problem to report that if it happened,5.0,4.0,5.0,5.0,1.0,3.0,5.0,36-45,Female,Bachelor’s degree,Qatar,3.0,3.2222222222222223,2.0,4.5,3.1666666666666665,Neutral
61,Yes,Finance / Banking,IT Support Engineer ,4–7 years,"ChatGPT (OpenAI), Microsoft Copilot, GitHub Copilot",Yes,ChatGPT (OpenAI),A few times a week,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,Professional and formal Email writing ,"Like cheating, because it will look like i didn’t do the work myself. ",1.0,1.0,1.0,2.0,2.0,1.0,1.0,26-35,Female,Bachelor’s degree,Qatar,1.0,1.8888888888888888,1.0,1.0,1.0,Shame & Guilt
62,Yes,IT / Tech,It Consultant ,More than 15 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,ChatGPT (OpenAI),Daily,1.0,2.0,2.0,5.0,3.0,2.0,3.0,4.0,2.0,2.0,Email trubshooting knowledge ,Good,5.0,2.0,3.0,2.0,4.0,3.0,5.0,46-55,Male,Master’s degree,Qatar,4.0,2.6666666666666665,2.0,3.5,3.1666666666666665,Neutral
63,Yes,Education / Academia,Teacer,4–7 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),A few times a week,3.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,Search about information & how to write perfect emails ,Normally ,3.0,3.0,4.0,4.0,4.0,4.0,4.0,36-45,Female,Bachelor’s degree,Qatar,3.0,3.2222222222222223,3.0,3.0,3.0,Neutral
64,Yes,Government / Public sector,BI consultant ,8–15 years,Microsoft Copilot,Yes,"ChatGPT (OpenAI), Claude (Anthropic)",A few times a week,2.0,3.0,3.0,3.0,5.0,3.0,5.0,4.0,5.0,3.0,"Code correction
Demonstrate and breakdown ideas",I am ok with that,3.0,3.0,3.0,3.0,2.0,4.0,3.0,36-45,Male,Master’s degree,Saudi Arabia,3.0,3.6666666666666665,3.0,3.0,3.0,Confidence
65,Yes,IT / Tech,Business developer ,4–7 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,ChatGPT (OpenAI),A few times a month,2.0,3.0,3.0,1.0,3.0,5.0,3.0,5.0,3.0,4.0,"Data analysis 
Goals breakdown  ",Confidante ,3.0,3.0,3.0,5.0,3.0,4.0,5.0,26-35,Male,Bachelor’s degree,Saudi Arabia,4.0,3.111111111111111,4.0,3.0,3.6666666666666665,Confidence
66,Yes,Consulting,Quality Assurance Ofiicer,8–15 years,"No, up to now. I'm using it personally",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",A few times a month,2.0,3.0,5.0,4.0,4.0,3.0,2.0,5.0,5.0,5.0,"Audit Finfing Report
Strategic Planning","Creative, Initiative",3.0,3.0,4.0,4.0,3.0,3.0,4.0,36-45,Male,Bachelor’s degree,Saudi Arabia,4.0,3.6666666666666665,5.0,3.0,4.0,Other Emotional State
67,Yes,IT / Tech,Application support team leader ,8–15 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),A few times a month,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Formal emails
Sql commands
Writing Reports",Confident ,5.0,5.0,5.0,5.0,3.0,5.0,5.0,36-45,Female,Master’s degree,Saudi Arabia,4.0,4.777777777777778,5.0,5.0,4.666666666666667,Confidence
68,Yes,IT / Tech,Data Engineer,8–15 years,"ChatGPT (OpenAI), Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Microsoft Copilot, GitHub Copilot",Daily,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Everything in my life and all my daily task I use AI ,Professional ,5.0,5.0,5.0,5.0,5.0,5.0,5.0,26-35,Male,Bachelor’s degree,Saudi Arabia,5.0,5.0,5.0,5.0,5.0,Confidence
68,Yes,IT / Tech,Data Engineer,8–15 years,"ChatGPT (OpenAI), Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Microsoft Copilot, GitHub Copilot",Daily,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Everything in my life and all my daily task I use AI ,Professional ,5.0,5.0,5.0,5.0,5.0,5.0,5.0,26-35,Male,Bachelor’s degree,Saudi Arabia,5.0,5.0,5.0,5.0,5.0,Neutral
69,Yes,Healthcare,Pharmacist,8–15 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),A few times a month,1.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,Searching for new drugs use and interactions that i don't know,Neutral ,3.0,3.0,3.0,4.0,3.0,3.0,4.0,26-35,Male,Bachelor’s degree,Saudi Arabia,3.0,3.6666666666666665,3.0,3.0,3.0,Neutral
70,Yes,Consulting,Site Electrical Engineer,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,ChatGPT (OpenAI),A few times a week,1.0,3.0,3.0,5.0,3.0,1.0,1.0,3.0,5.0,5.0,"1. Writing and rephrasing emails and reports.

2. Preparing technical documents like proposals and specifications.

3. Analyzing data and writing simple automation scripts.","It feels efficient and empowering. Using Gen AI helps get things done faster, with more clarity, and improves the quality of communication and documentation. It’s a smart tool, not a shortcut",1.0,3.0,2.0,5.0,3.0,1.0,3.0,26-35,Male,Bachelor’s degree,Saudi Arabia,4.0,2.7777777777777777,5.0,2.0,3.6666666666666665,Competence
70,Yes,Consulting,Site Electrical Engineer,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,ChatGPT (OpenAI),A few times a week,1.0,3.0,3.0,5.0,3.0,1.0,1.0,3.0,5.0,5.0,"1. Writing and rephrasing emails and reports.

2. Preparing technical documents like proposals and specifications.

3. Analyzing data and writing simple automation scripts.","It feels efficient and empowering. Using Gen AI helps get things done faster, with more clarity, and improves the quality of communication and documentation. It’s a smart tool, not a shortcut",1.0,3.0,2.0,5.0,3.0,1.0,3.0,26-35,Male,Bachelor’s degree,Saudi Arabia,4.0,2.7777777777777777,5.0,2.0,3.6666666666666665,Excitement
