Unnamed: 0,employment_status,industry,current_role,years_of_experience,genai_org_approval,genai_use,genai_tools_used,genai_frequency_use,genai_importance,skill_integration,skill_learning,simple_tasks_skills,complex_tasks_skills,skillfullness,skills_support,skill_sharing,better_worker,relatedness,tasks_description,emotional_energy,dependancy,reliance,decision_making_confidence,quality_improvement,peers_approval,manager_support,general_disapproval,age_group,gender,highest_level_of_education,country_of_residence,enhanced_emotion_codes,enhanced_emotion_codes_str,emotion_confidence,emotion_competence,emotion_pragmatic,emotion_curiosity,emotion_excitement,emotion_pride_empowerment,emotion_shame_guilt,emotion_anxiety,emotion_discomfort,emotion_fear,emotion_neutral,emotion_other_emotional_state,emotional_energy_codes_str
73,Yes,"Education / Academia, Consulting",Water Engineer,4–7 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),Daily,1.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,"Brainstorming, Analysis, validation ",updated and tech-skilled,4.0,3.0,3.0,4.0,4.0,5.0,5.0,26-35,Female,Master’s degree,Sudan,['Competence'],Competence,0,1,0,0,0,0,0,0,0,0,0,0,Competence
74,Yes,"IT / Tech, Consulting",Senior IT ,4–7 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Claude (Anthropic), Microsoft Copilot, Midjourney, GitHub Copilot, Stable diffusion, comfy Ui , gpt4all, ooga boga webui",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Claude (Anthropic), Microsoft Copilot, Midjourney, GitHub Copilot",Daily,5.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,"Idea storming, problem solving, create manual for dummies ","i feel its like using a calculator in math exam, some may consider it cheating while others normalise it",3.0,3.0,3.0,3.0,3.0,2.0,3.0,26-35,Male,Bachelor’s degree,Sudan,"['Ethical Ambivalence', 'Flat Neutrality']",Ethical Ambivalence; Flat Neutrality,0,0,0,0,0,0,1,0,0,0,1,0,Shame & Guilt; Neutral
75,Yes,"IT / Tech, Non ",Program coordinator ,4–7 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,ChatGPT (OpenAI),Daily,2.0,3.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,5.0,.,.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,18-25,Male,Bachelor’s degree,Sudan,[],,0,0,0,0,0,0,0,0,0,0,0,0,
76,Yes,IT / Tech,Software engineer,4–7 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Claude (Anthropic), Microsoft Copilot, Midjourney, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), GitHub Copilot",Daily,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,Build a JWT based authentication service that integrates with LDAP. Write a feature description document to submit to QA for testing. Build custom UI components with native js. ,"i don’t have to report that, i feel good about it, it demonstrates i have a new skill that improves my work quality and productivity.",4.0,5.0,5.0,5.0,5.0,5.0,5.0,26-35,Prefer not to say,Bachelor’s degree,Sudan,['Competence'],Competence,0,1,0,0,0,0,0,0,0,0,1,0,Competence; Neutral
77,Yes,Healthcare,Dentist ,4–7 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),Daily,1.0,,5.0,5.0,3.0,3.0,4.0,3.0,5.0,5.0,"Dryg interaction, check noramal average, diagnosis ",i don't report that,5.0,4.0,5.0,5.0,3.0,,,26-35,Female,Master’s degree,Sudan,[],,0,0,0,0,0,0,0,0,0,0,0,0,
78,Yes,Research,Senior Researcher,8–15 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Claude (Anthropic), Microsoft Copilot, Midjourney, GitHub Copilot, Consensus",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Claude (Anthropic), Microsoft Copilot, Midjourney, GitHub Copilot, Consensus",Daily,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,"For summarising research documents, and for creating reports",i am completely okay with everyone knowing that,3.0,3.0,4.0,5.0,3.0,3.0,3.0,26-35,Male,Doctorate (PhD or equivalent),Turkey,"['Confidence', 'Flat Neutrality']",Confidence; Flat Neutrality,0,0,0,0,0,0,0,0,0,0,1,0,Neutral
79,Yes,Export Sales Development ,Export Sales Specialist ,1–3 years,We do not have any officially approved AI tools but ChatGPT is widely used by employees within our organisation.,Yes,ChatGPT (OpenAI),Daily,1.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Preparing sales contracts and promotional emails,"i will be happy to disclose this fact, nothing to be ashamed of, in fact it proves that i employ all tools at hand effectively to get my job done.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,26-35,Male,Master’s degree,Turkey,['Other Emotional State'],Other Emotional State,0,0,0,0,0,0,0,0,0,0,0,1,Other Emotional State
80,Yes,Finance / Banking,Tech lead ,8–15 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Claude (Anthropic), Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Claude (Anthropic), Microsoft Copilot, Midjourney",Daily,3.0,4.0,3.0,2.0,5.0,4.0,5.0,5.0,5.0,4.0,"* Drafting and Refining Communications: 
I use Gen AI to help draft and improve emails, reports, and formal communication. It assists with grammar, tone, and clarity, helping me save time while ensuring professional quality.
* Data Analysis and Summarization: 
I use Gen AI to summarize large documents or datasets, making it easier to extract key insights quickly—especially useful for reviewing reports, policies, or research.
* Idea Generation and Problem Solving: 
I often use Gen AI to brainstorm solutions, generate ideas for process improvements, or explore different approaches to a challenge. It’s a helpful starting point for innovation and critical thinking.
",using gen ai for work-related tasks makes me feel empowered and efficient. it allows me to handle repetitive or time-consuming tasks more quickly.,2.0,5.0,4.0,5.0,5.0,5.0,4.0,46-55,Male,Bachelor’s degree,Uganda,"['Competence', 'Empowerment']",Competence; Empowerment,0,1,0,0,0,1,0,0,0,0,0,0,Competence; Pride & Empowerment
81,Yes,Education / Academia,English Language Teacher ,4–7 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Deepseek ",A few times a week,2.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,5.0,"Prepare lessons and homeworks, measuring result of the students",fine by me,3.0,4.0,3.0,5.0,5.0,5.0,3.0,26-35,Male,Bachelor’s degree,United Arab Emirates,"['Confidence', 'Flat Neutrality']",Confidence; Flat Neutrality,0,0,0,0,0,0,0,0,0,0,1,0,Neutral
82,Yes,IT / Tech,Senior Software Engineer ,8–15 years,"ChatGPT (OpenAI), Claude (Anthropic), GitHub Copilot",Yes,"ChatGPT (OpenAI), Claude (Anthropic)",Daily,3.0,3.0,3.0,2.0,4.0,3.0,3.0,5.0,4.0,4.0,"Find solutions for my work, fix bug of code، ",it's normal to do that,3.0,4.0,4.0,4.0,4.0,5.0,5.0,26-35,Male,Master’s degree,United Arab Emirates,['Flat Neutrality'],Flat Neutrality,0,0,0,0,0,0,0,0,0,0,1,0,Neutral
83,Yes,IT / Tech,Business Analyst ,4–7 years,"ChatGPT (OpenAI), Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Manus",Rarely,2.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,"Enhance email, help in the plan,ideas",good,4.0,4.0,4.0,4.0,4.0,4.0,4.0,26-35,Male,Bachelor’s degree,United Arab Emirates,['Other Emotional State'],Other Emotional State,0,0,0,0,0,0,0,0,0,0,1,0,Neutral
84,Yes,IT / Tech,Software engineer,8–15 years,"Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Microsoft Copilot, GitHub Copilot",Daily,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Automation testing ,i can do this,5.0,5.0,5.0,5.0,5.0,5.0,5.0,26-35,Female,Master’s degree,United Arab Emirates,['Other Emotional State'],Other Emotional State,1,1,0,0,0,0,0,0,0,0,0,0,Confidence; Competence
85,Yes,IT / Tech,DevOps Lead,4–7 years,Microsoft Copilot,Yes,Microsoft Copilot,A few times a week,4.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,3.0,1.0,"Drafting scripts, rewriting emails","neutral, ai won't create engineers out of nothing",1.0,1.0,1.0,3.0,5.0,5.0,5.0,26-35,Male,Bachelor’s degree,United Arab Emirates,['Flat Neutrality'],Flat Neutrality,0,0,0,0,0,0,0,0,0,0,1,0,Neutral
86,Yes,IT / Tech,Retail Solution Specialist,More than 15 years,"Microsoft Copilot, GitHub Copilot",Yes,"Microsoft Copilot, GitHub Copilot",A few times a month,1.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,"Fleet Solution, Telematics",get the repetitive work done by ai,4.0,4.0,4.0,4.0,4.0,4.0,4.0,36-45,Male,Master’s degree,United Arab Emirates,['Other Emotional State'],Other Emotional State,0,0,0,0,0,0,0,0,0,0,0,1,Other Emotional State
87,Yes,IT / Tech,Devops Engineer,8–15 years,Microsoft Copilot,Yes,Microsoft Copilot,Daily,3.0,2.0,4.0,5.0,3.0,3.0,4.0,1.0,4.0,3.0,scipst,good,3.0,3.0,3.0,4.0,4.0,4.0,4.0,26-35,Male,Bachelor’s degree,United Arab Emirates,['Other Emotional State'],Other Emotional State,0,0,0,0,0,0,0,0,0,0,1,0,Neutral
88,Yes,IT / Tech,Senior data analyst ,8–15 years,"Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Claude (Anthropic), Microsoft Copilot",A few times a week,3.0,4.0,3.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,"Simple scripts, boilerplate generation, formatting email writing ",neutral,4.0,3.0,1.0,4.0,4.0,4.0,5.0,26-35,Male,Bachelor’s degree,United Arab Emirates,['Flat Neutrality'],Flat Neutrality,0,0,0,0,0,0,0,0,0,0,1,0,Neutral
89,Yes,IT / Tech,Software Engineer,8–15 years,Google Gemini (Formerly Bard),Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), GitHub Copilot",A few times a month,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,1.0,"generated evaluation reports from daily tasks
emails communications",i have reported that normally,1.0,1.0,1.0,3.0,5.0,5.0,5.0,26-35,Male,Bachelor’s degree,United Arab Emirates,['Flat Neutrality'],Flat Neutrality,0,0,0,0,0,0,0,0,0,0,1,0,Neutral
90,Yes,IT / Tech,Software engineer ,8–15 years,"ChatGPT (OpenAI), Claude (Anthropic), Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Claude (Anthropic), Microsoft Copilot, GitHub Copilot",Daily,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,"My answers are biased because I work with generative AI tools every day to build complex products. I focus on integrating different tools into my routine as smoothly and efficiently as possible. I’m an AI engineer, someone whose job is to figure out how to use AI to solve real problems and make the world better. And by the way, I wish you all the best.","btw i just used it to phrase the answer above lol. it is a tool while it is my own responsibility to use it the best way possible. the comparison is between me and the ai, vs either me without ai or ai without me. i think both are less than our team. i love us!",4.0,4.0,4.0,5.0,5.0,5.0,5.0,26-35,Male,Master’s degree,United States,['Other Emotional State'],Other Emotional State,0,0,0,0,1,0,0,0,0,0,0,0,Excitement
91,No,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,[],,0,0,0,0,0,0,0,0,0,0,0,0,
92,Yes,"Finance / Banking, Government / Public sector",Development Officer,1–3 years,,No,,,,,,,,,,,,,,nan,,,,,,,,,,,,[],,0,0,0,0,0,0,0,0,0,0,0,0,
93,No,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,[],,0,0,0,0,0,0,0,0,0,0,0,0,
94,Yes,Manufacturing,Senior Engineer,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Own AI bot",No,,,,,,,,,,,,,,nan,,,,,,,,,,,,[],,0,0,0,0,0,0,0,0,0,0,0,0,
95,No,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,[],,0,0,0,0,0,0,0,0,0,0,0,0,
96,No,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,[],,0,0,0,0,0,0,0,0,0,0,0,0,
97,Yes,IT / Tech,software engg dev,Less than 1 year,ChatGPT (OpenAI),No,,,,,,,,,,,,,,nan,,,,,,,,,,,,[],,0,0,0,0,0,0,0,0,0,0,0,0,
98,No,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,[],,0,0,0,0,0,0,0,0,0,0,0,0,
99,Yes,IT / Tech,,Less than 1 year,"ChatGPT (OpenAI), Claude (Anthropic), Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Claude (Anthropic), Microsoft Copilot, GitHub Copilot",Daily,3.0,3.0,4.0,2.0,4.0,5.0,4.0,3.0,1.0,2.0,Coding,pretty good,1.0,1.0,2.0,4.0,5.0,5.0,4.0,18-25,Male,Bachelor’s degree,India,['Other Emotional State'],Other Emotional State,0,0,0,0,1,0,0,0,0,0,1,0,Excitement; Neutral
100,Yes,IT / Tech,,8–15 years,,No,,,,,,,,,,,,,,nan,,,,,,,,,,,,[],,0,0,0,0,0,0,0,0,0,0,0,0,
101,Yes,IT / Tech,IP design engineer ,8–15 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",No,,,,,,,,,,,,,,nan,,,,,,,,,,,,[],,0,0,0,0,0,0,0,0,0,0,0,0,
102,No,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,[],,0,0,0,0,0,0,0,0,0,0,0,0,
103,Yes,Healthcare,Internship physician,Less than 1 year,,Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Grok",A few times a week,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,It helps me diagnose the patient and choose the appropriate medication and dosage for him.,"i feel a bit of a contradiction, a positive feeling that i'm keeping up with modern technology and adept at using it as a reality and a necessity. sometimes i feel like i'm training my mind to be dependent and lazy.",2.0,3.0,4.0,3.0,3.0,2.0,3.0,26-35,Male,Bachelor’s degree,Egypt,['Other Emotional State'],Other Emotional State,0,0,0,0,0,0,0,0,0,0,0,1,Other Emotional State
104,Yes,IT / Tech,Marketing and automation specialist,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,ChatGPT (OpenAI),Daily,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,"Market Research, Client Communication and marketing ",i'm the founder of my company so i totally agree,4.0,3.0,5.0,5.0,5.0,5.0,4.0,26-35,Male,Bachelor’s degree,Oman,['Other Emotional State'],Other Emotional State,1,0,0,0,0,0,0,0,0,0,0,0,Confidence
105,Yes,"Finance / Banking, ",محاماه,4–7 years,ChatGPT (OpenAI),Yes,Google Gemini (formerly Bard),Daily,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,Yes ,yes,3.0,3.0,3.0,3.0,3.0,2.0,2.0,26-35,Male,Bachelor’s degree,Saudi Arabia,[],,0,0,0,0,0,0,0,0,0,0,0,0,
106,Yes,Automotives,Parts advisor ,8–15 years,Google Gemini (Formerly Bard),Yes,Google Gemini (formerly Bard),A few times a month,3.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,2.0,Emails,i don't know,2.0,1.0,1.0,1.0,2.0,3.0,3.0,26-35,Male,Bachelor’s degree,Saudi Arabia,[],,0,0,0,0,0,0,0,0,0,0,0,0,
107,Yes,IT / Tech,CM Trainer ,1–3 years,"Google Gemini (Formerly Bard), Company private AI",Yes,"Google Gemini (formerly Bard), Company private AI",Daily,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Training outlines, Training materials ",it is recommended,5.0,5.0,,5.0,5.0,5.0,3.0,36-45,Male,Bachelor’s degree,Poland,['Other Emotional State'],Other Emotional State,0,0,0,0,0,0,0,0,0,0,0,1,Other Emotional State
108,Yes,Healthcare,Stellvertretende Pflegedienst Leitung ,8–15 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),Daily,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Ich habe dass benutzt in meine facharbeit 
Ich habe benutzt in meine neue Projekt 
يساعدني في حياتي اليوميه العمليه وًالعلميه و المهنيه",احس بفخر لما استمعله,5.0,5.0,5.0,5.0,5.0,5.0,5.0,26-35,Female,Bachelor’s degree,Germany,['Other Emotional State'],Other Emotional State,0,0,0,0,0,1,0,0,0,0,0,0,Pride & Empowerment
109,Yes,Government / Public sector,Mechanical Engineer ,8–15 years,Microsoft Copilot,Yes,"ChatGPT (OpenAI), Microsoft Copilot",A few times a week,2.0,3.0,2.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,"Research, document preparations, benchmarking ",i feel not interested in showing that i used gen ai,3.0,1.0,2.0,3.0,3.0,1.0,5.0,26-35,Male,Master’s degree,Qatar,['Other Emotional State'],Other Emotional State,0,0,0,1,0,0,0,0,0,0,0,0,Curiosity
110,Yes,IT / Tech,Test developer - production,8–15 years,"Google Gemini (Formerly Bard), Claude (Anthropic)",Yes,"Google Gemini (formerly Bard), Claude (Anthropic)",Daily,3.0,2.0,5.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,"- development,  clause is integrated into our repository so we can personalize it and help with coding and code reviews. 
- we have a lot of processes, and documentation that we need to go through. Gemini is very helpful when answer questions related to company documents or devices/tools user guide.",we are asked to use ai in our daily activities. management pushing toward using ai to improve efficiency.,1.0,4.0,2.0,4.0,5.0,5.0,5.0,36-45,Male,Master’s degree,Canada,"['Competence', 'Organizational Norms']",Competence; Organizational Norms,0,1,1,0,0,0,0,0,0,0,1,0,Competence; Pragmatic; Neutral
111,Yes,Consulting,BD,More than 15 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),A few times a week,3.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,"Marketing Research, Proposal related to spesific topic and revision of Financial plans","i did modification not copy and past, rephrasing or adding from my own knowledge",1.0,1.0,2.0,3.0,1.0,1.0,3.0,46-55,Female,Master’s degree,United Arab Emirates,['Other Emotional State'],Other Emotional State,1,0,1,0,0,0,0,0,0,0,0,0,Confidence; Pragmatic
112,Yes,IT / Tech,Developer,1–3 years,Microsoft Copilot,Yes,Microsoft Copilot,Daily,4.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,"Drafting emails, coding",yes,3.0,4.0,4.0,5.0,5.0,4.0,5.0,26-35,Female,Bachelor’s degree,India,[],,0,0,0,0,0,0,0,0,0,0,0,0,
113,Yes,Government / Public sector,Lab assistant,1–3 years,ChatGPT (OpenAI),No,,,,,,,,,,,,,,nan,,,,,,,,,,,,[],,0,0,0,0,0,0,0,0,0,0,0,0,
114,Yes,Education / Academia,Student,1–3 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),A few times a week,4.0,2.0,5.0,5.0,4.0,5.0,5.0,4.0,2.0,1.0,coding and idea collection,"a bit shameful, but i still know that i use it only if i cannot find an immediate answer per google and that i am able to question the ai's answers",3.0,4.0,1.0,3.0,4.0,2.0,4.0,18-25,Female,High school or equivalent,Germany,['Other Emotional State'],Other Emotional State,0,0,0,0,0,0,1,0,0,0,0,0,Shame & Guilt
115,Yes,Healthcare,Student assistant ,1–3 years,I don't know for sure,No,,,,,,,,,,,,,,nan,,,,,,,,,,,,[],,0,0,0,0,0,0,0,0,0,0,0,0,
116,Yes,Education / Academia,SHK,Less than 1 year,,Yes,ChatGPT (OpenAI),A few times a week,4.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,1.0,"Translation, writing of abstracts for a study","not so good. since ai ist not necessary for my work, the thought of my supervisor finding out stresses me a bit",2.0,3.0,3.0,4.0,3.0,3.0,4.0,18-25,Female,Bachelor’s degree,Germany,['Discomfort / Unease'],Discomfort / Unease,0,0,1,0,0,0,1,0,0,0,1,0,Pragmatic; Shame & Guilt; Neutral
117,Yes,Oil and Gas,Section Head Production Operation,More than 15 years,,No,,,,,,,,,,,,,,nan,,,,,,,,,,,,[],,0,0,0,0,0,0,0,0,0,0,0,0,
118,Yes,IT / Tech,Software Architect,8–15 years,Google Gemini (Formerly Bard),Yes,"Google Gemini (formerly Bard), DeepSeek",A few times a month,4.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,2.0,"Validation of texts that will be presented to users, structuring emails, summarizing conversations in meetings",neutral,2.0,3.0,3.0,4.0,4.0,5.0,4.0,26-35,Male,Bachelor’s degree,Brazil,['Flat Neutrality'],Flat Neutrality,0,0,0,0,0,0,0,0,0,0,1,0,Neutral
